area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price
1269,2,3,1.0,0.0,0,2,7,Apartment,Furnished,Under Construction,Electronic City,3.0,24.3,1.0,4,6990000
949,2,2,2.0,1.0,1,3,3,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.9,14.6,6.0,2,9030000
794,2,2,0.0,1.0,0,6,7,Independent House,Unfurnished,Under Construction,Sarjapur Road,5.1,18.5,1.0,1,4050000
1434,3,4,1.0,2.0,4,7,15,Apartment,Furnished,Ready to Move,Marathahalli,2.8,13.7,3.0,2,10820000
1245,3,3,1.0,0.0,36,4,7,Independent House,Unfurnished,Ready to Move,Koramangala,8.2,5.4,3.0,1,12370000
1753,4,4,1.0,0.0,16,3,7,Apartment,Semi-Furnished,Ready to Move,Koramangala,6.4,3.1,3.0,1,20120000
597,1,1,1.0,0.0,8,6,7,Independent House,Semi-Furnished,Ready to Move,Whitefield,5.3,17.3,3.0,1,4190000
950,3,4,1.0,1.0,15,4,10,Independent House,Semi-Furnished,Ready to Move,Hebbal,6.2,12.3,5.0,1,9720000
995,3,3,2.0,2.0,7,4,7,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.1,15.4,10.0,3,4700000
1405,3,4,2.0,0.0,3,10,10,Apartment,Unfurnished,Ready to Move,Sarjapur Road,1.5,19.6,3.0,1,7910000
1991,4,5,3.0,1.0,1,2,25,Apartment,Furnished,Ready to Move,Whitefield,4.8,21.3,1.0,3,20850000
1496,3,4,0.0,1.0,8,1,3,Villa,Unfurnished,Ready to Move,Banashankari,7.6,11.2,5.0,4,14440000
2750,4,4,1.0,2.0,1,5,5,Apartment,Unfurnished,Ready to Move,Hebbal,6.3,13.6,3.0,1,23770000
969,2,3,2.0,2.0,4,5,5,Villa,Semi-Furnished,Ready to Move,HSR Layout,6.0,10.8,5.0,1,13880000
1567,3,3,1.0,2.0,13,5,7,Apartment,Furnished,Ready to Move,Koramangala,6.7,1.0,5.0,0,24320000
442,1,1,1.0,0.0,1,1,3,Apartment,Semi-Furnished,Under Construction,Koramangala,6.2,4.7,8.0,2,5250000
634,1,1,1.0,1.0,1,8,10,Apartment,Semi-Furnished,Ready to Move,Electronic City,4.4,21.5,1.0,3,3360000
849,2,2,1.0,2.0,2,8,20,Apartment,Semi-Furnished,Ready to Move,Jayanagar,8.1,2.6,6.0,1,9620000
963,2,3,1.0,2.0,6,1,3,Apartment,Unfurnished,Ready to Move,Indiranagar,7.7,6.5,1.0,2,12450000
929,2,2,1.0,1.0,2,4,7,Independent House,Semi-Furnished,Ready to Move,HSR Layout,6.0,11.6,1.0,5,14340000
1146,2,2,3.0,1.0,5,9,15,Villa,Semi-Furnished,Ready to Move,Marathahalli,4.1,15.3,3.0,3,10220000
405,1,1,0.0,2.0,2,2,5,Apartment,Furnished,Under Construction,Koramangala,10.0,5.7,,4,6530000
1086,4,5,3.0,1.0,5,3,3,Independent House,Unfurnished,Under Construction,HSR Layout,6.4,10.4,1.0,2,13620000
526,1,1,2.0,0.0,2,4,10,Villa,Semi-Furnished,Ready to Move,Electronic City,1.9,21.3,2.0,3,3590000
1531,3,4,1.0,1.0,31,1,3,Independent House,Semi-Furnished,Ready to Move,Indiranagar,6.9,10.3,1.0,3,22330000
978,2,3,2.0,2.0,5,10,15,Apartment,Semi-Furnished,Ready to Move,Hebbal,3.6,12.4,2.0,0,8410000
