area_sqft,bhk,bathrooms,balconies,parking,age_years,floor,total_floors,property_type,furnishing,availability,location,amenities_score,distance_to_center_km,nearby_schools,nearby_hospitals,price,property_type_encoded,furnishing_encoded,availability_encoded,location_encoded
1269.0,2,3,1,1,0,2,7,Apartment,Furnished,Under Construction,Electronic City,3.0,24.3,1,4,6990000,0,0,1,1
949.0,2,2,2,1,1,3,3,Apartment,Semi-Furnished,Ready to Move,Banashankari,3.9,14.6,6,2,9030000,0,1,0,0
794.0,2,2,0,1,0,6,7,Independent House,Unfurnished,Under Construction,Sarjapur Road,5.1,18.5,1,1,4050000,1,2,1,8
1434.0,3,4,1,1,4,7,15,Apartment,Furnished,Ready to Move,Marathahalli,2.8,13.7,3,2,10820000,0,0,0,7
1245.0,3,3,1,1,24,4,7,Independent House,Unfurnished,Ready to Move,Koramangala,8.2,5.4,3,1,12370000,1,2,0,6
1753.0,4,4,1,1,16,3,7,Apartment,Semi-Furnished,Ready to Move,Koramangala,6.4,3.1,3,1,20120000,0,1,0,6
597.0,1,1,1,1,8,6,7,Independent House,Semi-Furnished,Ready to Move,Whitefield,5.3,17.3,3,1,4190000,1,1,0,9
950.0,3,4,1,1,15,4,10,Independent House,Semi-Furnished,Ready to Move,Hebbal,6.2,12.3,5,1,9720000,1,1,0,3
995.0,3,3,2,1,7,4,7,Apartment,Semi-Furnished,Under Construction,Marathahalli,2.1,15.4,7,3,4700000,0,1,1,7
1405.0,3,4,2,1,3,10,10,Apartment,Unfurnished,Ready to Move,Sarjapur Road,1.5,19.6,3,1,7910000,0,2,0,8
1991.0,4,5,3,1,1,2,25,Apartment,Furnished,Ready to Move,Whitefield,4.8,21.3,1,3,20850000,0,0,0,9
1496.0,3,4,0,1,8,1,3,Villa,Unfurnished,Ready to Move,Banashankari,7.6,11.2,5,4,14440000,2,2,0,0
2712.875,4,4,1,1,1,5,5,Apartment,Unfurnished,Ready to Move,Hebbal,6.3,13.6,3,1,23770000,0,2,0,3
969.0,2,3,2,1,4,5,5,Villa,Semi-Furnished,Ready to Move,HSR Layout,6.0,10.8,5,1,13880000,2,1,0,2
1567.0,3,3,1,1,13,5,7,Apartment,Furnished,Ready to Move,Koramangala,6.7,1.0,5,0,24320000,0,0,0,6
